CNAE2009,TÍTULO_CNAE2009,CNAE2025,TÍTULO_CNAE2025,NIVEL
17.11,Fabricación de pasta papelera,17.11,Fabricación de pasta papelera,4
17.12,Fabricación de papel y cartón,17.12,Fabricación de papel y cartón,4
17.2,Fabricación de artículos de papel y de cartón,17.2,Fabricación de artículos de papel y de cartón,3
17.21,Fabricación de papel y cartón ondulados; fabricación de envases y embalajes de papel y cartón,17.21,Fabricación de papel y cartón ondulados y de envases y embalajes de papel y cartón,4
17.22,"Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico",17.22,"Fabricación de artículos de papel y cartón para uso doméstico, sanitario e higiénico",4
17.23,Fabricación de artículos de papelería,17.23,Fabricación de artículos de papelería,4
17.24,Fabricación de papeles pintados,17.24,Fabricación de papeles pintados,4
17.29,Fabricación de otros artículos de papel y cartón,17.25,Fabricación de otros artículos de papel y cartón,4
18,Artes gráficas y reproducción de soportes grabados,18,Artes gráficas y reproducción de soportes grabados,2
74,"Otras actividades profesionales, científicas y técnicas",18,Artes gráficas y reproducción de soportes grabados,2
82,Actividades administrativas de oficina y otras actividades auxiliares a las empresas,18,Artes gráficas y reproducción de soportes grabados,2
18.1,Artes gráficas y servicios relacionados con las mismas,18.1,Artes gráficas y servicios relacionados ,3
74.2,Actividades de fotografía,18.1,Artes gráficas y servicios relacionados ,3
82.1,Actividades administrativas y auxiliares de oficina,18.1,Artes gráficas y servicios relacionados ,3
18.11,Artes gráficas y servicios relacionados con las mismas,18.11,Impresión de periódicos,4
18.12,Otras actividades de impresión y artes gráficas,18.12,Otras actividades de impresión y artes gráficas,4
74.20,Actividades de fotografía,18.12,Otras actividades de impresión y artes gráficas,4
82.19,"Actividades de fotocopiado, preparación de documentos y otras actividades especializadas de oficina",18.12,Otras actividades de impresión y artes gráficas,4
18.13,Servicios de preimpresión y preparación de soportes,18.13,Servicios de preimpresión y preparación de soportes,4
18.14,Encuadernación y servicios relacionados con la misma,18.14,Encuadernación y servicios relacionados,4
18.2,Reproducción de soportes grabados,18.2,Reproducción de soportes grabados,3
18.20,Reproducción de soportes grabados,18.20,Reproducción de soportes grabados,4
19,Coquerías y refino de petróleo,19,Coquerías y refino de petróleo,2
19.1,Coquerías,19.1,Coquerías,3
19.10,Coquerías,19.10,Coquerías,4
